受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2021-04-09,160008,富山県,,55
2021-04-10,160008,富山県,,43
2021-04-11,160008,富山県,,43
2021-04-12,160008,富山県,,46
2021-04-13,160008,富山県,,45
2021-04-14,160008,富山県,,56
2021-04-15,160008,富山県,,56
2021-04-16,160008,富山県,,57
2021-04-17,160008,富山県,,64
2021-04-18,160008,富山県,,52
2021-04-19,160008,富山県,,80
2021-04-20,160008,富山県,,54
2021-04-21,160008,富山県,,55
2021-04-22,160008,富山県,,65
2021-04-23,160008,富山県,,52
2021-04-24,160008,富山県,,58
2021-04-25,160008,富山県,,38
2021-04-26,160008,富山県,,57
2021-04-27,160008,富山県,,61
2021-04-28,160008,富山県,,55
2021-04-29,160008,富山県,,51
2021-04-30,160008,富山県,,72
2021-05-01,160008,富山県,,54
2021-05-02,160008,富山県,,52
2021-05-03,160008,富山県,,68
2021-05-04,160008,富山県,,62
2021-05-05,160008,富山県,,63
2021-05-06,160008,富山県,,65
2021-05-07,160008,富山県,,54
2021-05-08,160008,富山県,,57
2021-05-09,160008,富山県,,57
2021-05-10,160008,富山県,,81
2021-05-11,160008,富山県,,59
2021-05-12,160008,富山県,,34
2021-05-13,160008,富山県,,80
2021-05-14,160008,富山県,,66
2021-05-15,160008,富山県,,70
2021-05-16,160008,富山県,,67
2021-05-17,160008,富山県,,107
2021-05-18,160008,富山県,,81
2021-05-19,160008,富山県,,61
2021-05-20,160008,富山県,,73
2021-05-21,160008,富山県,,83
2021-05-22,160008,富山県,,81
2021-05-23,160008,富山県,,78
2021-05-24,160008,富山県,,120
2021-05-25,160008,富山県,,79
2021-05-26,160008,富山県,,68
2021-05-27,160008,富山県,,80
2021-05-28,160008,富山県,,74
2021-05-29,160008,富山県,,69
2021-05-30,160008,富山県,,45
2021-05-31,160008,富山県,,62
2021-06-01,160008,富山県,,46
2021-06-02,160008,富山県,,42
2021-06-03,160008,富山県,,46
2021-06-04,160008,富山県,,61
2021-06-05,160008,富山県,,52
2021-06-06,160008,富山県,,49
2021-06-07,160008,富山県,,67
2021-06-08,160008,富山県,,43
2021-06-09,160008,富山県,,28
2021-06-10,160008,富山県,,35
2021-06-11,160008,富山県,,30
2021-06-12,160008,富山県,,45
2021-06-13,160008,富山県,,33
2021-06-14,160008,富山県,,44
2021-06-15,160008,富山県,,44
2021-06-16,160008,富山県,,32
2021-06-17,160008,富山県,,47
2021-06-18,160008,富山県,,32
2021-06-19,160008,富山県,,30
2021-06-20,160008,富山県,,30
2021-06-21,160008,富山県,,36
2021-06-22,160008,富山県,,19
2021-06-23,160008,富山県,,34
2021-06-24,160008,富山県,,24
2021-06-25,160008,富山県,,22
2021-06-26,160008,富山県,,31
2021-06-27,160008,富山県,,31
2021-06-28,160008,富山県,,32
2021-06-29,160008,富山県,,16
2021-06-30,160008,富山県,,22
2021-07-01,160008,富山県,,18
2021-07-02,160008,富山県,,22
2021-07-03,160008,富山県,,24
2021-07-04,160008,富山県,,35
